path,section,audience,title,words,h2s,internal_links,tbd,sample_figures,faq_schema,schema,depth,priority,question_answered,target_phrases,actions,pmg_input
/pain-education/thoracic-transforaminal-epidural-steroid-injection/,pain-education,patient,Thoracic Transforaminal Epidural Steroid Injection,475,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Thoracic Transforaminal Epidural Steroid Injection, who is it for, and what should a patient expect?",Thoracic Transforaminal Epidural Steroid Injection procedure; Thoracic Transforaminal Epidural Steroid Injection what to expect; Thoracic Transforaminal Epidural Steroid Injection recovery; Thoracic Transforaminal Epidural Steroid Injection side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/trigger-point-injections/,pain-education,patient,Trigger Point Injections,439,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Trigger Point Injections, who is it for, and what should a patient expect?",Trigger Point Injections procedure; Trigger Point Injections what to expect; Trigger Point Injections recovery; Trigger Point Injections side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/superion-interspinous-spacer-vertiflex/,pain-education,patient,Superion® InterSpinous Spacer (Vertiflex),440,4,3,0,0,no,MedicalWebPage MedicalProcedure,moderate,P2,"What is Superion InterSpinous Spacer, who is it for, and what should a patient expect?",Superion InterSpinous Spacer procedure; Superion InterSpinous Spacer what to expect; Superion InterSpinous Spacer recovery; Superion InterSpinous Spacer side effects,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/opioid-misuse/,pain-education,patient,Opioid Misuse,370,4,3,0,0,no,MedicalWebPage,moderate,P2,What should patients know about opioid misuse?,opioid misuse; opioid misuse risks; opioid misuse pain management,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/opioids-and-chronic-pain-management/,pain-education,patient,Opioids and Chronic Pain Management,443,5,3,0,0,no,MedicalWebPage,moderate,P2,What should patients know about opioids and chronic pain management?,opioids and chronic pain management; opioids and chronic pain management risks; opioids and chronic pain management pain management,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/side-effects-of-long-term-opioid-use/,pain-education,patient,Side Effects of Long-Term Opioid Use,356,4,3,0,0,no,MedicalWebPage,moderate,P2,What should patients know about side effects of long-term opioid use?,side effects of long-term opioid use; side effects of long-term opioid use risks; side effects of long-term opioid use pain management,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/pain-education/tapering-opioid-use-safely/,pain-education,patient,Tapering Opioid Use Safely,325,4,3,0,0,no,MedicalWebPage,moderate,P2,What should patients know about tapering opioid use safely?,tapering opioid use safely; tapering opioid use safely risks; tapering opioid use safely pain management,plain-language summary at top; 'when to see a pain specialist'; 'where this is offered' linking to state pages; 3 FAQs with schema; MedicalCondition or MedicalProcedure schema; condition-to-procedure links; medical text itself unchanged,Clinician review of the added sections and the disclaimer
/about-us/,about-us,hospital,About Pain Management Group,176,4,7,0,1,no,,thin,P2,Who is Pain Management Group?,Pain Management Group Findlay Ohio; Pain Management Group company; pain management management company hospitals,"direct answer in the first 50 words; H2s as questions; key facts block; 3 to 5 page FAQs with FAQPage schema; plain-language definitions; related links both ways; founding, leadership, footprint; Organization schema detail (founder, foundingDate) once confirmed","Founding story, year, leadership"
/about-us/mission/,about-us,hospital,Our Mission and Story,174,4,4,1,1,no,,thin,P3,"What does PMG believe, and where did it start?",Pain Management Group mission; PMG history,story from the interview; timeline,Founding story
/about-us/careers/,about-us,utility,Internal Team Opportunities,103,2,3,0,0,no,,thin,P3,What non-clinical roles does PMG hire for?,Pain Management Group careers; healthcare management jobs Findlay Ohio,team functions; how to apply,Roles and functions
/news/,news,hospital,News,251,5,6,0,0,no,,thin,P3,What is new at PMG?,Pain Management Group news,"regular cadence: one post per new partner, award, or milestone",News items
/news/pmg-helping-in-houston/,news,hospital,PMG Helping In Houston,261,0,3,0,0,no,NewsArticle,thin,P3,,,,
/news/thank-you-for-paying-it-forward/,news,hospital,Thank You For Paying It Forward,837,0,3,0,0,no,NewsArticle,substantial,P3,,,,
/news/pain-management-group-receives-spirit-award-from-the-partnership-for-excellence/,news,hospital,Pain Management Group Receives ‘Spirit Award’ From The Partnership For Excellence,352,0,3,0,0,no,NewsArticle,moderate,P3,,,,
/news/pain-management-group-receives-the-partnership-for-excellence-silver-award-2022/,news,hospital,Pain Management Group Receives The Partnership For Excellence Silver Award 2022,333,0,3,0,0,no,NewsArticle,moderate,P3,,,,
/contact/,contact,hospital,Contact Pain Management Group,128,3,3,0,0,no,,thin,P2,"How do I reach PMG, and what happens after I do?",Pain Management Group contact; Pain Management Group phone,what happens after the form; office hours; LocalBusiness schema for the office,Hours; response commitment
/sitemap/,sitemap,utility,Site Map,281,8,76,0,0,no,,thin,P3,Where is everything on the site?,,none,none
